artists	song	songId	pageHref	playlistId	user	userId	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	explicit	popularity	release_date	preview_url	track_number	disc_number	available_markets
Still Corners	Don't Fall in Love	3klWixfSTvOkH8LxwBUpiP	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.505	0.825	F#	-6.005	Maj	0.0261	0.000516	0.00352	0.116	0.708	93.039	233680	4	false	38	2010	https://p.scdn.co/mp3-preview/870a8d6f3fca81dfb3f3722f32afb1d09fdf1f80?cid=774b29d4f13844c495f206cafdad9c86	1	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
Blue Stahli	Ghost of Love	07k4D28dk9q3vEvm3H1rkI	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.599	0.692	F#	-6.528	Maj	0.0258	0.000541	0.423	0.315	0.353	139.977	174857	4	false	17	2013	https://p.scdn.co/mp3-preview/74d29199d6110c1f1c0bc6563d4496d82c05c357?cid=774b29d4f13844c495f206cafdad9c86	10	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
Trailer Trash Tracys	You Wish You Were Red	3hO0hnRqkGaztxGs5Nk9sr	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.555	0.697	C	-5.157	Min	0.0326	0.329	0.183	0.108	0.335	99.988	233733	4	false	23	2012	https://p.scdn.co/mp3-preview/7ac5ed56a7b4a4a6f258a3a943ce40e294570d79?cid=774b29d4f13844c495f206cafdad9c86	2	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,UY,VN,XK,ZA
Hope Sandoval and the Warm Inventions	Trouble	16woVUclP95G4IFU97zmvF	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.322	0.384	B	-12.911	Maj	0.0294	0.538	0.451	0.0878	0.163	171.658	322680	3	false	26	2010	https://p.scdn.co/mp3-preview/72678ecd2ddf67a8358534e19b289caa279eb24f?cid=774b29d4f13844c495f206cafdad9c86	8	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
Jenny Gabrielsson Mare	The Black Lodge	5r2zckRmQTRywwSpaeJPAU	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.838	0.434	C	-12.969	Maj	0.0378	0.412	0.0891	0.122	0.746	112.783	224400	4	false	0	2013		5	1	
Angelo Badalamenti	The Pink Room	5c434NcYl2SfhW0lfBgp1t	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.57	0.361	C#	-18.864	Min	0.0258	0.694	0.947	0.11	0.521	104.954	246240	4	false	41	1992	https://p.scdn.co/mp3-preview/54d8b578f4d7db3756d914f039a4b2e59e2da3c4?cid=774b29d4f13844c495f206cafdad9c86	7	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
Danger Mouse, Sparklehorse, David Lynch	Dark Night of the Soul (feat. David Lynch)	3pfBHp4Q7z1DYNg7Dr40vn	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.322	0.75	D#	-6.858	Min	0.0918	0.942	0.421	0.662	0.293	70.501	280507	4	false	24	2010	https://p.scdn.co/mp3-preview/5249a38e62855e6e2d4b60bef33a9df60ce22cf6?cid=774b29d4f13844c495f206cafdad9c86	13	1	AD,AE,AL,AR,AT,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,OM,PA,PE,PH,PL,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,UY,VN,XK,ZA
David Lynch, Alan R. Splet	In Heaven (Lady in the Radiator Song)	1O9YLtUoxI6GecWg9imdET	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.16	0.446	F#	-11.343	Min	0.0365	0.728	0.69	0.102	0.161	81.524	98214	4	false	37	2012	https://p.scdn.co/mp3-preview/03d2b1399af67e1976795bc0486952073a9d44f2?cid=774b29d4f13844c495f206cafdad9c86	3	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
Santo & Johnny	Sleep Walk	0yK8sWD6cfrc7pGfaPIcZH	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.779	0.212	A#	-9.759	Maj	0.0362	0.759	0.959	0.235	0.444	94.675	145333	3	false	60	2012	https://p.scdn.co/mp3-preview/7a154664c1ee22836be5504537eda44b7715e591?cid=774b29d4f13844c495f206cafdad9c86	1	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
Julee Cruise	Rockin' Back Inside My Heart	7kOSSHSBmQ0Y0668lpUNV1	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma	0.621	0.223	B	-17.397	Min	0.0278	0.591	0.00212	0.0579	0.314	84.891	349067	4	false	42	1989	https://p.scdn.co/mp3-preview/c0851918b50d25fac31a83d2db8324eb2ce66dc4?cid=774b29d4f13844c495f206cafdad9c86	4	1	AD,AE,AL,AR,AT,AU,BA,BE,BG,BH,BO,BR,BY,CA,CH,CL,CO,CR,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IS,IT,JO,JP,KR,KW,KZ,LB,LI,LT,LU,LV,MA,MC,MD,ME,MK,MT,MX,MY,NI,NL,NO,NZ,OM,PA,PE,PH,PL,PS,PT,PY,QA,RO,RS,RU,SA,SE,SG,SI,SK,SV,TH,TN,TR,TW,UA,US,UY,VN,XK,ZA
