artists	song	songId	pageHref	playlistId	user	userId
Still Corners	Don't Fall in Love	3klWixfSTvOkH8LxwBUpiP	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Blue Stahli	Ghost of Love	07k4D28dk9q3vEvm3H1rkI	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Trailer Trash Tracys	You Wish You Were Red	3hO0hnRqkGaztxGs5Nk9sr	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Hope Sandoval and the Warm Inventions	Trouble	16woVUclP95G4IFU97zmvF	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Jenny Gabrielsson Mare	The Black Lodge	5r2zckRmQTRywwSpaeJPAU	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Angelo Badalamenti	The Pink Room	5c434NcYl2SfhW0lfBgp1t	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Danger Mouse, Sparklehorse, David Lynch	Dark Night of the Soul (feat. David Lynch)	3pfBHp4Q7z1DYNg7Dr40vn	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
David Lynch, Alan R. Splet	In Heaven (Lady in the Radiator Song)	1O9YLtUoxI6GecWg9imdET	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Santo & Johnny	Sleep Walk	0yK8sWD6cfrc7pGfaPIcZH	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
Julee Cruise	Rockin' Back Inside My Heart	7kOSSHSBmQ0Y0668lpUNV1	http://musikveckor.blogspot.com/2021/02/lynchdom.html	3YbMp5jstwpg1BOWOKSAnu	axomamma	axomamma
The Stooges	Gimme Danger - Alternate 'Violent' Iggy Mix	77bHrxVX3E2SWopfaoWrTw	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Led Zeppelin	Ten Years Gone - 1990 Remaster	1NV6sCADgcLSW7DG7zSWlq	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Neil Young, Crazy Horse	Hey Hey, My My (Into the Black) - 2016 Remaster	5sy3FriCrKYGJp6JBOnlOo	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Wipers	D-7	4Av6uLF5s1A1mvSCP8fLR6	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Meat Puppets	Aurora Borealis	3v96PVWraQRXr6Nh9BLtuK	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Meat Puppets	Up On The Sun	5MHIEn1L5RlorcpyUtMTpV	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Hüsker Dü	Don't Want to Know If You Are Lonely	4tPFEWRuNQhibDQSGB2PVE	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Pixies	Gigantic	3oqJ3POeLfa2TJh6BFLhPM	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Mudhoney	Sweet Young Thing Ain't Sweet No More	5Dx1FyzTvCrGnQqIsRlPEB	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Neil Young	Don't Cry	73ZWInNQw5NTQ01GqgJAF4	http://musikveckor.blogspot.com/2021/01/proto-grunge-artisterna-som-inspirerade.html	60e0dVFuBW7ffUm4AqB8Yi	Rikard Samvik	snurrfint
Dr. Feelgood	Roxette	52gGK0YYbyl9JwlN09zNOX	http://musikveckor.blogspot.com/2021/01/brittiska-punken-en-ryckig-transition.html	4W6eE4XQqGmAkBgG2bUFHP	Anders Larsson	andershaverdal
The Stranglers	No More Heroes - 1996 Remaster	3A6Ty55vQ1NC06EiB1fi9z	http://musikveckor.blogspot.com/2021/01/brittiska-punken-en-ryckig-transition.html	4W6eE4XQqGmAkBgG2bUFHP	Anders Larsson	andershaverdal
The Damned	Neat Neat Neat	4ECOvnBBOpMok5H9fiyS96	http://musikveckor.blogspot.com/2021/01/brittiska-punken-en-ryckig-transition.html	4W6eE4XQqGmAkBgG2bUFHP	Anders Larsson	andershaverdal
Sham 69	Hurry Up Harry	38UXdVUPvx0dHbrotdg3Bl	http://musikveckor.blogspot.com/2021/01/brittiska-punken-en-ryckig-transition.html	4W6eE4XQqGmAkBgG2bUFHP	Anders Larsson	andershaverdal
Stiff Little Fingers	Alternative Ulster	2yE3bwbhqypdsuhmv48Svn	http://musikveckor.blogspot.com/2021/01/brittiska-punken-en-ryckig-transition.html	4W6eE4XQqGmAkBgG2bUFHP	Anders Larsson	andershaverdal
The Carpettes	Radio Wunderbar	5ffUiFiWhu54v2jtKONI8O	http://musikveckor.blogspot.com/2021/01/brittiska-punken-en-ryckig-transition.html	4W6eE4XQqGmAkBgG2bUFHP	Anders Larsson	andershaverdal
